"","CCIS00146684ST-4-0","CCIS00281083ST-3-0","CCIS02124300ST-4-0","CCIS02379307ST-4-0","CCIS02856720ST-4-0","CCIS03473770ST-4-0","CCIS03857607ST-4-0","CCIS05314658ST-4-0","CCIS06260551ST-3-0","CCIS07277498ST-4-0","CCIS07539127ST-4-0","CCIS07648107ST-4-0","CCIS08668806ST-3-0","CCIS09568613ST-4-0","CCIS10706551ST-3-0","CCIS10793554ST-4-0","CCIS11015875ST-4-0","CCIS11019776ST-4-0","CCIS11354283ST-4-0","CCIS11362406ST-4-0","CCIS11558985ST-4-0","CCIS12370844ST-4-0","CCIS12656533ST-4-0","CCIS13047523ST-4-0","CCIS14449628ST-4-0","CCIS15704761ST-4-0","CCIS15794887ST-4-0","CCIS16326685ST-4-0","CCIS16383318ST-4-0","CCIS16561622ST-4-0","CCIS17669415ST-4-0","CCIS19142497ST-3-0","CCIS20795251ST-4-0","CCIS21126322ST-4-0","CCIS21278152ST-4-0","CCIS22275061ST-4-0","CCIS22416007ST-4-0","CCIS22906510ST-20-0","CCIS22958137ST-20-0","CCIS23164343ST-4-0","CCIS24254057ST-4-0","CCIS24898163ST-4-0","CCIS25399172ST-4-0","CCIS27304052ST-3-0","CCIS27927933ST-4-0","CCIS28384594ST-4-0","CCIS29210128ST-4-0","CCIS29688262ST-20-0","CCIS31434951ST-20-0","CCIS32105356ST-4-0","CCIS32452666ST-4-0","CCIS33816588ST-4-0","CCIS34055159ST-4-0","CCIS34604008ST-4-0","CCIS35092938ST-4-0","CCIS35100175ST-4-0","CCIS36699628ST-4-0","CCIS36797902ST-4-0","CCIS37250421ST-4-0","CCIS38765456ST-20-0","CCIS40244499ST-3-0","CCIS41222843ST-4-0","CCIS41288781ST-4-0","CCIS41548810ST-4-0","CCIS41692898ST-4-0","CCIS41806458ST-4-0","CCIS44093303ST-4-0","CCIS44676181ST-4-0","CCIS44743950ST-4-0","CCIS44757994ST-4-0","CCIS45571137ST-3-0","CCIS45793747ST-4-0","CCIS46047672ST-4-0","CCIS46467422ST-4-0","CCIS47284573ST-4-0","CCIS47745468ST-4-0","CCIS48174381ST-4-0","CCIS48507077ST-4-0","CCIS48579360ST-4-0","CCIS48725289ST-4-0","CCIS50003399ST-4-0","CCIS50148151ST-4-0","CCIS50369211ST-20-0","CCIS50471204ST-4-0","CCIS50561855ST-4-0","CCIS51595129ST-4-0","CCIS51667829ST-4-0","CCIS52234160ST-4-0","CCIS52370277ST-4-0","CCIS53043478ST-4-0","CCIS53355328ST-4-0","CCIS53557295ST-4-0","CCIS54027808ST-4-0","CCIS55230578ST-4-0","CCIS55531770ST-4-0","CCIS56503244ST-3-0","CCIS58234805ST-4-0","CCIS59132091ST-4-0","CCIS59903910ST-4-0","CCIS61287323ST-4-0","CCIS62605362ST-3-0","CCIS62794166ST-4-0","CCIS63448910ST-4-0","CCIS63468405ST-4-0","CCIS63910149ST-4-0","CCIS64773582ST-4-0","CCIS64785924ST-20-0","CCIS65479369ST-4-0","CCIS70398272ST-4-0","CCIS71301801ST-4-0","CCIS71578391ST-4-0","CCIS72607085ST-4-0","CCIS74239020ST-4-0","CCIS74726977ST-3-0","CCIS76563044ST-4-0","CCIS76845094ST-20-0","CCIS77100899ST-4-0","CCIS77252613ST-4-0","CCIS78100604ST-4-0","CCIS78318719ST-4-0","CCIS79210440ST-3-0","CCIS80834637ST-4-0","CCIS81139242ST-4-0","CCIS81710917ST-20-0","CCIS81735969ST-20-0","CCIS81887263ST-4-0","CCIS82146115ST-4-0","CCIS82507866ST-3-0","CCIS82944710ST-20-0","CCIS83445808ST-4-0","CCIS83574003ST-4-0","CCIS83870198ST-4-0","CCIS84543192ST-4-0","CCIS85214191ST-3-0","CCIS87116798ST-4-0","CCIS87167916ST-4-0","CCIS87252800ST-4-0","CCIS87290971ST-4-0","CCIS87605453ST-4-0","CCIS88007743ST-4-0","CCIS88317640ST-4-0","CCIS90164298ST-4-0","CCIS90166425ST-4-0","CCIS90443472ST-4-0","CCIS90903952ST-3-0","CCIS91228662ST-4-0","CCIS93040568ST-20-0","CCIS94417875ST-3-0","CCIS94496512ST-4-0","CCIS94603952ST-4-0","CCIS95097901ST-4-0","CCIS95409808ST-4-0","CCIS96387239ST-4-0","CCIS98482370ST-3-0","CCIS98512455ST-4-0","CCIS98832363ST-4-0","CCMD11006829ST-21-0","CCMD12232071ST-21-0","CCMD13071240ST-21-0","CCMD13934959ST-21-0","CCMD14479708ST-21-0","CCMD18872694ST-21-0","CCMD19497912ST-21-0","CCMD23101338ST-21-0","CCMD25511638ST-21-0","CCMD25963797ST-21-0","CCMD26709089ST-21-0","CCMD26925580ST-21-0","CCMD34381688ST-21-0","CCMD35802077ST-21-0","CCMD40701343ST-21-0","CCMD42428553ST-21-0","CCMD45988061ST-21-0","CCMD46222674ST-21-0","CCMD46947453ST-21-0","CCMD48236717ST-21-0","CCMD50071957ST-21-0","CCMD51864103ST-21-0","CCMD60079086ST-21-0","CCMD63399960ST-21-0","CCMD64503764ST-21-0","CCMD64776337ST-21-0","CCMD72895164ST-21-0","CCMD74930188ST-21-0","CCMD79987997ST-21-0","CCMD82866709ST-21-0","CCMD86114146ST-21-0","CCMD86707194ST-21-0","CCMD87156761ST-21-0","CCMD88272491ST-21-0","CCMD90311071ST-21-0","CCMD93344354ST-21-0","CCMD95433940ST-21-0","CCMD96553385ST-21-0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques",369279,666836,3121287,666244,1582913,750837,621932,1598275,928512,311342,1447024,2276085,413033,386927,285822,899545,1793000,359442,967994,1581128,429447,137974,294757,1514527,448371,1359507,2369120,749081,216602,3228209,258113,361918,101096,1327390,630312,2710699,7922842,895258,640927,913851,210149,178489,263591,200882,3469597,916775,974952,6360314,206044,577705,447303,2676874,1491650,2146722,352524,819954,3040148,1008421,397250,4022323,3639559,1515079,275150,834884,3941175,586497,8329667,675479,5331952,18908,1258978,683889,246111,14674,402507,672474,437134,6910911,584258,702094,761468,1749440,3204326,5732609,32899,400959,493940,697991,1300163,887397,1362329,1016548,1619166,3524573,840846,317456,581911,3268598,626940,1034818,1859363,1464646,1474306,1150507,921744,225754,167275,2206170,921694,5381617,987259,32087,1001104,2796382,726270,4164125,1964951,1178977,2528662,2410591,462232,3159430,1062381,460481,801673,2572807,3141280,256266,338065,346023,1564030,304650,690390,1998413,2623044,44948,1535108,1442453,6033062,644020,779550,764773,7578110,1201251,622201,2524966,632420,449922,344935,1804523,2145901,1526137,429944,734935,919584,1214973,1640813,3931097,9729064,2266066,281080,387688,732676,1209069,650346,1287423,502007,144576,2893097,1240615,5958689,2251867,1263908,260386,352495,295960,359762,794136,6849466,942533,2229006,522885,1428018,575216,168782,374649,1575871,1316121,931846,3831204,1602445,1162163,999888,1759652,1711633,385714,5417765,617040,671803
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis",363708,1897,561,0,0,0,11549,63705,0,0,0,143846,1529,0,158889,0,948,4161,2975,187575,789251,0,0,0,0,0,1771,21642,882,1442740,104212,3972,105984,0,3207,0,0,623061,8806,0,0,0,13100,186695,184,0,0,0,0,0,188980,12598,8992,0,0,4367,0,7763,0,0,2171,0,0,0,0,1755,24372,0,65340,0,487461,797,0,0,0,0,5028,0,7199,212,734909,0,0,0,28254,0,0,0,1830519,0,193915,0,765,388405,0,417133,9190,0,0,1223500,0,410598,0,0,0,0,12206,0,1011,4461744,0,12234,0,29260,697,0,546,44980,0,0,255,3630478,0,110498,0,0,3282,0,0,2049,0,1166,2136,152,1423,0,0,0,0,0,0,0,30893,10461,9359,2107,36697,389556,0,77,0,0,0,0,0,7454,1619,344704,0,0,0,121644,12671,116299,0,0,0,0,9978,409,0,777,0,5417,6165,121675,47445,334,0,124621,0,0,1694026,576,0,0,0,0,130829,1762,0,0,84,1008,1886,0,2556,1276186,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8",331695,13794,262595,817,69139,34894,0,256986,137365,0,76649,312913,127520,493245,101556,36725,560049,179256,158516,86774,52629,0,246473,60609,0,0,72826,148666,37036,116134,190691,129445,433455,179821,74750,26430,126169,7457,45882,24785,0,4215,158736,44212,27706,218822,966,24590,1610,31716,0,51311,542,279793,241964,1750,0,0,322118,49916,117,298876,0,1536153,174070,17351,0,0,0,0,304565,157772,0,0,994122,0,15273,67043,0,125534,54874,0,0,147053,69728,136761,52291,0,121255,1571558,331758,82616,7469,47104,0,114292,188,6800,0,40538,1708372,0,0,49670,104099,201007,11377,604,585153,129511,302860,0,5722,206063,170773,0,224518,3320,138756,536187,50771,0,262318,131859,104351,136449,14340,75744,5351,266953,172000,469233,152895,320641,214072,1023945,193737,64268,0,288683,139532,0,1372040,63039,63604,465643,0,153124,1359,414382,3146,18248,23597,112241,0,291945,3789,0,166891,249934,153186,134833,55680,384863,341682,548030,0,0,0,528405,0,37392,140264,388988,123919,323,126847,0,190009,337088,539267,462,343853,8091,0,255256,0,0,81,151478,115653,219107,0,2578,144927,4745017,2788,2106328,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA",331566,0,0,0,0,0,0,0,0,1144174,0,0,0,0,709425,0,0,0,0,0,0,0,0,0,0,0,0,0,38059,0,0,0,232246,0,0,0,0,0,0,0,0,6745,0,218089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11276,0,0,0,0,0,0,11650,0,0,0,2165,0,0,180186,0,0,0,52509,0,0,0,0,0,607708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282947,0,0,3635,0,0,0,0,0,0,0,0,24490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278525,0,0,27913,0,0,0,7691,129215,0,0,0,0,0,0,57677,0,0,0,0,4113,83488,932342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena",322050,42849,1817293,221132,733438,699480,2416251,259176,59308,1447812,186660,0,128327,921229,68742,628106,120577,353002,2251827,5116455,9926,18771,763804,2761,64396,0,1306931,38968,399971,138700,174882,485276,54949,3068013,301850,4772777,301517,7112871,7070741,2315651,788,0,134672,196663,136268,1180961,719357,212857,983256,607968,1257490,360203,79346,498962,651279,176184,216376,211291,427989,187405,111808,1967833,0,273785,285926,190245,263061,216432,1223207,39748,490762,1153813,118744,23096,625640,241260,2364388,2921882,800745,448370,411922,0,187408,1674743,13264,247865,1515565,1471431,6163,1219361,1185752,882013,1337976,242773,148938,183058,27642,3301651,345637,3278070,2218628,231916,276496,247213,533684,877386,28470,554847,4256932,387145,2046194,15836,1447787,3344197,1105210,9392809,1037862,2819502,0,223898,352446,2128469,1269,127027,2595962,423528,8064276,133110,494481,206872,14777,73095,723563,0,385523,6160,0,942291,300937,0,1754395,2141463,102861,894406,75982,166855,0,829976,521025,0,7792,1047425,74217,145885,3104621,1373368,2838906,136179,1458755,170092,0,597463,400812,2768922,126710,3078323,0,91245,441489,856843,2235271,411352,176867,1003833,354942,1063274,155222,207657,0,256769,828101,894486,214139,818494,513502,60434,364486,1315118,504258,5201,617405,104189,69890,75884,2985026,579978,312604,1203225,372357
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified",250341,133719,281296,37963,241566,169615,95701,498322,71104,0,428572,59277,69029,65315,30702,96014,1438160,172513,107242,312242,54065,0,138458,150865,399168,0,0,0,163730,516139,20218,0,148731,59913,143713,40034,0,94679,95343,40451,0,2454244,58152,54651,26192,0,231486,15868,16408,12752,0,112027,19904,116617,31843,90774,145713,22622,708249,50096,150525,401001,355455,328089,107294,20336,98933,54176,158429,338987,70011,44828,0,0,113270,1500612,78382,158960,6936,19241,0,0,0,347587,203696,63926,51992,11935,441027,95144,86141,75495,0,249412,0,50421,68639,42430,128932,71817,551064,293171,0,33913,4750,178965,0,132940,5297,653026,19024,185863,33632,1130739,37240,307356,160272,6658,0,127425,20387,184652,0,155087,247948,139967,73280,40459,5981,306115,256112,732533,54484,77338,120912,1905043,351464,0,655909,20659,44434,13214,601529,242858,76122,202237,12562,15357,139773,144265,317762,6439,0,37938,229051,29837,876118,0,143607,278708,56073,89824,105920,2116,622784,452497,294183,112251,462468,468129,655200,446319,115063,181460,84230,63745,167535,0,0,187565,247213,501106,423809,65885,0,102173,9521,126523,130232,0,475745,324249,276716,0,65181,1655064,0,253907,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47",166433,703,0,0,47635,975,0,0,0,0,0,0,42262,0,0,0,3572,0,35430,0,8373,0,0,49181,0,0,0,21829,0,5049,5193,0,177,145138,8440,6784,32460,0,0,1519,0,0,833,49567,0,3393,0,106,18311,5605,11542,5223,0,0,3878,1295,20788,0,3214,8691,0,0,10947,43144,135841,0,0,0,95316,14626,0,1857,0,0,7901,0,0,20732,3618,19000,51482,0,0,135444,0,4908,3996,0,38678,0,11302,0,0,0,0,11735,0,0,0,13975,3378,0,10969,580,0,0,1963,0,13649,13088,41704,0,0,8133,0,0,0,11894,320824,0,0,392750,88548,1296,1547,80052,17536,18950,3419,459,170165,14924,0,0,0,4142,0,726,0,101590,0,0,0,17921,344,0,0,8982,0,49792,27728,0,0,0,405,1598,0,0,2651,35068,5146,0,0,5769,9157,4492,47797,0,244,24547,0,2916,23860,0,70651,6831,6850,14246,106845,0,0,0,0,124820,0,110,0,0,24628,0,0,0,11307,0,0,36993,0,7806,1163011
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus",165916,74287,136941,115476,273906,271502,0,214181,123200,171485,1565846,139918,48745,657693,452999,56612,70907,0,362314,440651,254676,0,311468,241234,220170,0,639903,0,176724,526087,110672,379607,248119,488946,189260,0,253803,138081,1215428,0,0,0,289994,270336,0,176328,0,0,94967,131164,219792,813891,0,398552,246265,2066103,0,243549,85955,850279,58050,0,0,716124,645646,278720,1237195,41238,0,69564,233964,451505,2903828,0,284619,257448,586854,556606,148588,146887,142281,354110,0,343025,302263,245930,257344,632680,921523,942313,1441202,111756,0,447689,190301,196688,56316,0,76345,187893,1002710,270813,0,828552,103406,0,0,0,836250,875578,256197,0,176798,838220,583445,5150695,378543,234304,413369,136424,411206,117848,363340,446741,130854,997282,0,578958,0,54215,426551,74096,1248205,0,277859,0,379571,0,323831,554192,344091,192147,600536,762125,396254,3155186,0,440490,0,316837,85947,109653,0,117695,263862,352783,880983,288474,274179,173553,147215,406932,613550,97718,275514,119870,0,0,217907,253393,0,309427,92342,367462,359334,0,662969,0,670144,679729,911478,543496,348055,156755,0,438104,1258158,480609,389930,0,576123,306681,894235,0,282975,599551,1438182,0,1004666
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans",159448,1436094,2895374,28753,1346424,675100,1284320,33959,136414,616433,1467361,823782,94666,437483,2196200,37153,195728,584430,140574,37035,345342,56881,140366,0,2043133,402,37976,24389,209309,804822,21030,3539847,33608,1175947,187377,301036,21872,3202555,484453,134237,34682,20641,199319,452807,161975,648634,40798,167417,688973,862595,983112,720174,6766947,79393,525379,2146042,1176217,14829,1407851,1341733,3115807,705309,0,111549,2033094,47760,0,860924,13097995,0,130367,1900967,50208,101214,1269691,3684,188079,352205,179425,1453267,1249306,0,0,1467805,56112,347740,2035485,1245923,5167053,615494,9533,139295,571858,385183,248411,1216370,5494,928236,2140668,748178,215527,139489,0,534897,15498,792847,8727,1535351,611049,837184,328924,13099,1112604,100142,181910,984392,1467832,2905864,540372,1048075,564311,253261,1116227,0,1181682,623681,1971797,403855,56779,328133,2606524,3261398,658889,0,358004,3951,26403,440364,113564,286419,379860,99880,169213,48026,1654077,407005,0,688980,0,595546,542208,120031,236393,2063670,0,306085,596121,323980,558246,255149,618737,1414701,692028,177567,73300,362345,565992,247087,487048,11773,3435,0,65094,1231720,993012,653296,787839,6235332,0,2738709,412858,325384,2260293,5032495,216924,183728,1265853,1062845,604038,93,1684154,1653089,3006359,9428,12017,3756807,4156072,1908291,4856336
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei",130171,146272,139184,281080,18289,2043,22299,26964,815891,131450,760472,411,159434,182674,172422,326247,30920,74192,734,515931,695303,28778,3507,0,815372,137,255551,29910,169524,1972147,129085,199446,0,3244020,80435,2817,740270,245305,1639624,182061,2050548,503417,35933,135530,640,438425,1307222,68429,351547,140615,13826,288495,7183,222989,1297251,227051,0,118879,167,138028,76435,1625678,4901,117600,532941,4752,0,223,2185681,1974988,304595,1672204,473,3413764,2194,14126116,929482,1298450,54045,5489,1323503,19236,2164,133318,0,0,72692,335840,1420,384160,779591,13479,57483,843566,416942,199468,11362,57596,162705,745055,237754,574045,16760585,211648,44250,12111250,145923,0,3455,507452,787289,3303024,298121,772440,627081,4296,236390,435541,554416,213451,72918,826052,295151,225942,31585,3357753,9634,386549,202287,31366,242905,447945,12245,7432764,215145,13575,8023,0,674650,66611,38405,41039,10883,301101,1068424,327848,0,74450,5060961,1074826,1142496,112027,38438,1650824,14253,114412,648081,5524114,111804,577523,1122977,145932,78376,152316,524784,55901,13565052,787462,180703,4376,6435,114128,256188,553866,291346,804798,1367930,253111,1531858,26148,1517626,1446224,798858,504979,0,2723,598049,197259,85954,7344197,23292,5057961,4577332,7433,35451,1469834,10146894,12241,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans",129693,38333,1260766,96467,375437,396568,1074104,206217,0,355099,226178,631006,26197,318827,67304,356476,127176,279455,2533,1735657,42832,13811,60814,0,45741,0,418383,136946,813201,605930,0,96306,187719,563805,191610,1419599,228079,1349752,1308114,836034,0,0,41196,147765,508332,151055,503315,526825,124854,99285,111542,86535,139778,533696,174442,384419,478335,69924,66774,664614,97627,944716,0,5225,633075,114033,727450,764806,1371714,0,387913,550464,18650,36435,115376,114249,2292889,42864,331624,439741,751594,0,987522,1531593,29588,185577,659103,176268,404,249091,40799,227363,410513,355638,280157,42684,116967,3284145,105416,1058385,1460778,391218,35346,251877,217631,0,31313,395555,505555,85530,423820,2491,580262,4705073,538967,1293665,297609,1364319,958688,216029,139013,547513,351868,6948,1379292,647966,5168388,75798,112087,92282,74785,60864,300343,0,255681,0,6826,636663,763489,0,768479,453099,196376,635243,49507,179771,0,257137,275908,0,348264,447994,159139,332673,0,309065,30829,414934,460035,145766,37334,200911,222203,364795,111933,1929024,825588,172365,719622,856125,1463636,330262,234643,579571,414720,928984,153093,443409,582433,144123,169064,284757,248591,591403,0,213167,56472,704218,343438,221309,223345,165211,461531,557960,784016,85027,1801400,510918,321885
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis",119797,0,325725,49525,280880,41823,0,0,10885,0,43383,0,1753,1302578,0,122053,148097,480611,279723,2522,0,0,861743,3237729,1828542,0,580184,6049,0,188653,10253,0,131979,0,154,34928,100174,199484,459262,68204,0,183316,245,0,0,0,146275,0,0,0,0,933511,63769,34791,11652,921460,65540,0,798,523702,578487,572926,2531464,0,2862903,79710,4320,44358,1167,47580,0,217102,0,291845,30270,733495,0,605991,1619,1080560,0,1916374,7654,188021,213179,67102,0,132220,1725614,58192,46911,127182,8552,1035324,2274,42334,2159118,0,277525,67467,44213,0,144868,0,380,1304612,0,1513286,0,4772485,80765,451,18479,3340,0,2562827,10062,0,481056,45703,0,1303276,1369458,0,4007,848614,0,0,30848,1984,0,161536,789936,0,0,12145,25890,0,0,487393,1045772,0,64453,609826,360425,479133,0,0,58095,43118,39139,162892,0,0,0,180276,848143,251172,410308,0,1021,62290,212228,4673,0,0,286,0,410,185707,0,0,1004761,919,30007,15566,469154,135927,799238,0,701412,0,160599,78316,0,1192240,0,136386,0,0,4747,346244,56764,1735,18116,50966,2798530,103136,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus",97376,58507,77553,48787,439131,0,1566,217204,200138,54239,872836,1660547,13558,127906,0,55338,2629694,545105,639249,11918,38953,0,0,0,1833334,0,307,122431,51724,4473471,721,44838,807875,0,89258,83,0,2493112,9251850,0,0,162973,52133,852760,35799,67986,240079,0,225814,17094,675723,279970,528,6894,282531,0,9450,28495,0,798378,189683,0,396601,649589,23835,52023,94767,186201,427150,159742,88619,2892,2577409,0,253049,3532498,226877,406902,2383,268033,0,323123,0,2778937,73223,6127133,38187,628891,0,199545,85745,19868,0,346259,126693,0,3331,62,8990,470,2125698,0,0,809,197525,1815394,0,0,181159,7579731,56841,0,0,957305,18857,430,503110,0,0,2986,37133,2635611,1314804,975,6894,6912599,163161,143009,0,27792,9363788,0,8363,3996032,0,0,14202,0,3035239,1705,628745,0,360548,1796725,630018,105074,0,0,7675,0,0,0,0,0,689129,2359,5566782,1252804,531943,0,412830,345881,13047,322295,9728912,751656,274845,398232,25519,31214,805849,14827,0,587597,2598,0,0,0,0,6931,7106528,0,4345976,63392,1191696,3712,1716,171761,2956,2437,1615787,830,3868719,8043,25906,2364,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus",96426,18310,202,0,0,0,0,49498,50679,6018,472543,0,15892,3741,31257,28324,9665,2700,6360,0,12331,0,0,0,0,0,3734,0,0,114413,5578,18221,17736,0,0,0,0,19718,45804,0,0,0,0,26840,0,0,20218,1470,0,0,0,0,0,9804,0,0,0,0,39197,0,5894,0,0,8509,0,0,32058,683,0,0,0,36873,0,0,0,93838,6279,49886,0,18659,0,9612,0,66655,0,0,0,0,75527,0,20696,0,11100,23677,6044,31519,766,0,0,27662,41438,14203,576,42843,9620,0,0,0,6574,64138,1355,0,0,18055,17938,116378,4734,189727,0,0,6084,0,6103,1379,20087,67788,0,0,0,0,69867,0,0,0,12449,0,0,39346,15795,0,0,0,6166,0,0,191503,0,13863,0,53491,0,0,0,6883,70096,11132,0,20057,2645,937246,12093,6238,9574,4902,99576,44899,0,0,0,1511,716456,24079,15611,70958,6560,0,6762,222493,0,35746,168126,4575,13468,15217,0,5529,1043,0,8972,0,0,0,101294,195520,0,0,0,51213,324383
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI",93591,260,0,0,329759,141117,0,0,691977,0,67996,0,0,0,0,0,0,0,1550990,0,0,0,615963,0,0,0,0,0,0,0,0,10704,0,0,0,0,60019,0,0,674999,0,222090,0,30729,115579,0,0,0,47470,0,0,0,0,0,0,0,382325,0,0,912383,0,4313,475410,26304,0,0,0,369336,0,0,0,0,0,0,0,0,61365,0,0,0,0,105813,65,0,0,0,0,0,47008,0,0,0,0,33200,0,0,0,0,19055,0,0,200539,0,2898,0,0,0,831,84543,0,924785,73209,0,0,0,0,0,0,10089,0,0,554529,0,2921289,54956,0,7334,0,0,0,10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122214,0,9395,0,0,0,0,0,0,0,0,53520,0,421658,0,341049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64347,0,0,0,0,950702,457066,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_sp_4_3_54A2FAA",75449,0,0,0,55117,0,0,0,0,0,237630,0,0,168864,0,0,150176,422665,0,0,0,125603,137725,0,0,0,0,139645,0,224365,214653,0,0,0,0,189876,73338,89771,0,0,0,0,0,0,748330,0,0,0,0,0,0,76654,30980,145275,0,0,351795,0,0,0,0,156522,0,124323,0,0,0,0,0,0,0,0,0,0,126139,0,460915,173294,0,0,0,0,0,96373,0,0,0,0,242263,0,240726,97302,0,138510,0,0,178493,117119,0,0,0,0,0,0,0,59236,0,134645,0,0,0,0,0,0,0,0,0,0,194095,559695,84311,0,0,48332,0,0,0,0,0,126533,0,0,0,0,179116,0,0,57832,73185,198108,250801,0,580207,108408,0,161069,0,0,0,0,0,0,0,0,0,0,320665,227981,291095,283209,0,0,234340,0,708288,244107,57980,72894,0,62763,683715,93468,1501409,0,0,0,0,0,0,107349,259019,175540,0,0,0,0,309874,0,0,1615136,0,0,99476,0,0,271446,0,0,163655
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",66290,86552,250844,110738,368632,126378,187592,488458,243416,16734,1858878,399013,20282,116775,120632,192623,121973,200166,36892,6729,691,140960,59348,0,923505,0,1954609,502159,30758,210956,50185,46867,18261,445631,1537,4059,670584,3244,283176,13942,5886198,54655,37749,539,16905,0,290,65864,19731,20660,72279,208783,55432,93765,201676,295287,56721,96722,0,227863,615848,0,0,0,37110,22091,5940884,21897,1766311,315542,16101,219214,0,127,246444,2765160,993354,696816,45373,512508,3799,1746825,0,402837,45284,25853,24777,420064,358063,51118,45474,156771,22443,453739,289225,29321,83494,11457,232896,156789,410811,115122,311297,11181,18347,729538,0,0,406525,306,133,4580935,7192,589929,243959,12960481,494803,435603,403827,41328,180381,270921,0,726,0,1395491,76032,18164,33758,43624,1145335,115070,35200,3065441,237633,10327,619933,309608,16529699,1291552,307962,0,238045,9793,515349,274686,456495,26260,138768,55348,212751,0,2125,299711,1648387,41771,768442,4791,407066,1290698,121614,18017,101830,118831,368559,263367,1448059,264122,637460,95841,2294643,462694,0,220377,164685,13174,587852,760529,0,10815,502,85871,3819,294705,0,28382,140161,429656,6440,1333676,878961,1010772,650380,8386,5229056,285736,4070249,20447,4781682
